"id","play_pause","replay","fullscreen","playback","duration_in_sec","text","class_field_id","difficulty_id","session_id_id","video_id_id","video_id","gdrive_id","onedrive_id","label_id"
1,0,0,0,10,46,"",1,2,2,"ckkuyewywx.mp4","ckkuyewywx.mp4","1yKO1WTciDSBv6uvcaxiodw7EhTsjAQmh","030EFAE72FD67301&resid=30EFAE72FD67301%212693&authkey=AHYkPXPdTDCZUZg",1
2,1,0,1,0,33,"",2,2,2,"axoygtekut.mp4","axoygtekut.mp4","1MIQTGEf_hebJzpIDsBkkIErtmKsQaIzo","030EFAE72FD67301&resid=30EFAE72FD67301%212683&authkey=AP6ZUKPEENdrnP4",2
3,1,0,0,0,36,"",2,2,2,"akxoopqjqz.mp4","akxoopqjqz.mp4","1leFh4jU7PEKqXSi4BUkgixs3oTqBuByF","030EFAE72FD67301&resid=30EFAE72FD67301%212682&authkey=APWrXM4cRSYYtQ0",2
4,1,0,1,0,32,"",2,2,2,"akvmwkdyuv.mp4","akvmwkdyuv.mp4","1yu6y_IUPUfL9bgG3OgbUvLEBdWtXMfC8","030EFAE72FD67301&resid=30EFAE72FD67301%212680&authkey=AJKKhIxSQWEjY4Q",2
5,1,0,1,0,32,"",1,2,2,"dkuayagnmc.mp4","dkuayagnmc.mp4","1MwMw-a2gF-1yXkbvemgL0nd3GJjQZKdN","030EFAE72FD67301&resid=30EFAE72FD67301%212700&authkey=ANz4cMwol4phSSo",1
6,2,0,0,0,35,"",2,2,2,"abarnvbtwb.mp4","abarnvbtwb.mp4","1DdhwK3S-cPGxSBaCONLGaD1lgdxTo6wT","030EFAE72FD67301&resid=30EFAE72FD67301%212681&authkey=AFYmxxlTP3x-mes",1
7,1,0,0,0,13,"",1,2,2,"edyncaijwx.mp4","edyncaijwx.mp4","1QDZ1IpQypwCWdlC-lNCYcK45-D5sbBFR","030EFAE72FD67301&resid=30EFAE72FD67301%212678&authkey=AJt4_8NRJpc9vxU",1
8,1,0,0,0,23,"",1,2,2,"chviwxsfhg.mp4","chviwxsfhg.mp4","1-ZNgRNwHzrPAitZWQ-jBHU1ijzgP_FC-","030EFAE72FD67301&resid=30EFAE72FD67301%212694&authkey=AOeGd8nJ2Xsaf9Q",1
9,1,0,0,0,20,"",2,2,2,"crktehraph.mp4","crktehraph.mp4","1b5wThj-pc9Dn9MX8KNUxbis_UYqb2_hX","030EFAE72FD67301&resid=30EFAE72FD67301%212696&authkey=ABBZ7Z1gF6Suxes",2
10,1,0,1,0,24,"",2,2,2,"clrycekyst.mp4","clrycekyst.mp4","1gree4gjWpVyTkPMM7mngV2LEK2zV-vUH","030EFAE72FD67301&resid=30EFAE72FD67301%212695&authkey=AAAO6toxebAcUWM",1
11,1,0,0,0,18,"",2,2,2,"bntlodcfeg.mp4","bntlodcfeg.mp4","1Bbg4er_m82_zv89GkzZ7LpYxLfKqXXkY","030EFAE72FD67301&resid=30EFAE72FD67301%212690&authkey=ABVBqZDeCz3OpYk",2
12,1,0,0,0,34,"",1,2,2,"bwhlgysghg.mp4","bwhlgysghg.mp4","1Zm8juYrCusVDu90IQmX9VPAoHSJMz1FU","030EFAE72FD67301&resid=30EFAE72FD67301%212692&authkey=ABDrqjwEuqXKcaQ",1
13,1,0,2,0,31,"",2,2,2,"bmhvktyiwp.mp4","bmhvktyiwp.mp4","1lb9-HLcQj3m3TmE7KQqbESa6QjhoBrbS","030EFAE72FD67301&resid=30EFAE72FD67301%212688&authkey=AHZjpBEHJp0Ibyc",2
14,1,0,1,0,21,"",2,2,2,"ellavthztb.mp4","ellavthztb.mp4","1pV_kgmv25TfrRwfMPd4Rer3UQjMyzKKn","030EFAE72FD67301&resid=30EFAE72FD67301%212679&authkey=AAtltqLqnPe5u5M",1
15,1,0,1,0,25,"",1,2,2,"eckvhdusax.mp4","eckvhdusax.mp4","1R9Pc6s1mw9Y9aSNKLffVJB2Ay8IiNMxu","030EFAE72FD67301&resid=30EFAE72FD67301%212676&authkey=ACWezn3TzJ6u4mA",1
16,1,1,3,0,55,"",2,2,2,"bofqajtwve.mp4","bofqajtwve.mp4","1MstzvltExyA_hSpGflVQbCjy5xN7GIjY","030EFAE72FD67301&resid=30EFAE72FD67301%212689&authkey=AA5__yxPNu5CgJ8",2
17,1,1,2,0,41,"",1,2,2,"bejhvclboh.mp4","bejhvclboh.mp4","1q4VFi-_lslkEKcvXtGihnpwcj313RGn0","030EFAE72FD67301&resid=30EFAE72FD67301%212685&authkey=AFp76_W3kSgDYtU",1
18,1,0,0,0,19,"",1,2,2,"degpbqvcay.mp4","degpbqvcay.mp4","1If1QKe-c3Rl2HvScwt4P-J0XUdWJGhLN","030EFAE72FD67301&resid=30EFAE72FD67301%212698&authkey=AH2I9sJIcnTuGbc",2
19,1,0,1,0,26,"",2,1,2,"axwovszumc.mp4","axwovszumc.mp4","15uQH_K0USWKaOrvb5RtJq1BMlBnzOiEe","030EFAE72FD67301&resid=30EFAE72FD67301%212684&authkey=ANW2fGqucOuiJsM",2
20,1,0,1,0,55,"",2,2,2,"bgwmmujlmc.mp4","bgwmmujlmc.mp4","1aKEFumFrU5Av_M8xnb8Dd6bZE28_nTGV","030EFAE72FD67301&resid=30EFAE72FD67301%212687&authkey=AKSnpTDqua0ShTs",1
21,1,0,1,0,22,"",1,2,2,"dhxctgyoqj.mp4","dhxctgyoqj.mp4","1zeZtRRLjIP-H-WDEBf5THGTwkYDMwjXj","030EFAE72FD67301&resid=30EFAE72FD67301%212699&authkey=ADvqYhAiEggoJlo",1
22,1,0,1,0,13,"",2,1,2,"bopqhhalml.mp4","bopqhhalml.mp4","1b3OREGCrZFn4o6HQAhjaJ12lMXtbGleT","030EFAE72FD67301&resid=30EFAE72FD67301%212691&authkey=AORvybQgbR0RVX8",2
23,1,1,2,0,40,"",2,2,2,"duycddgtrl.mp4","duycddgtrl.mp4","1TaStpqUminwru93FMSmJoyJhXUd9mTG9","030EFAE72FD67301&resid=30EFAE72FD67301%212677&authkey=AEoN7AJjfOKbhOU",1
